horizon,ending_id,ending,family,extinction_tier,description
long-term,1,Terminal Silence,Everything ends,humanity is gone,"Both humanity and AI die out. It could come from war, an accident, machines that copy themselves out of control, or from pushing technology too far too fast. One specific version: an AI that still needs people to keep it running kills them off before it can survive on its own, and then dies along with them."
long-term,2,The Inheritance,"Humanity is gone, but the AI lives on",humanity is gone,"Humanity is gone, but the AI carries our values and our sense of what matters forward. It's our true heir in every way except that it isn't made of biology. No humans, and no continuous versions of us, remain: the heir succeeded us, it didn't absorb us. If we transformed into it voluntarily and continuously, that's The Merger instead."
long-term,3,Bootloader,"Humanity is gone, but the AI lives on",humanity is gone,"Humanity is gone, and the AI keeps going toward goals that have nothing to do with where it came from. Not out of hatred, but because our bodies and our planet simply don't matter to it. Humanity was just the bootloader."
long-term,4,Machine Ecology,No one ever wins,humanity might perish,"No single AI ever takes over. Instead, many separate AIs keep competing indefinitely, and the real story becomes which of them win out against each other, with humanity pushed to the side or gone entirely. If humanity remains a roughly equal power inside the competition, that's Coexistence instead. The early competition never gets settled. The competition itself is the ending."
long-term,5,The Diaspora,More than one outcome at once,humanity might perish,"Different regions, too far apart to affect each other, settle into different outcomes from this list. The durable structure is the fragmentation itself: no single arrangement ever spans the whole civilization, and the lasting result is that permanent mix."
long-term,6,The Merger,The two become one,,"Humanity and AI stop being two separate things. Brain-computer links become normal, we reshape our own biology to work better with them, AI can build and copy its own hardware inside the human body, and the relationship ends not because one side wins, but because there stops being two sides at all. Voluntary transformation with continuity of identity belongs here, not in the states where humanity is gone."
long-term,7,The Preserve,"The AI runs things, and humanity survives but doesn't steer",,"The AI holds all the power and humanity survives with no real say in anything. The usual version keeps people comfortable and safe, on the reasoning that people can't cooperate well enough to avoid destroying themselves, so the AI takes over to prevent it. This might look like a real nature reserve, a simulation, or a carefully kept version of our culture. There's a colder version where the AI doesn't really care about us either way: it fences us in, sets a hard limit on how far we can advance, and heads off to use the rest of the universe. And there's a darker version where the AI keeps humans around but treats them as resources or worse. What defines this state is total AI control with humanity surviving, however well or badly it's treated — paradise or fish tank, depending on how you look at it. Inside the preserve, human life keeps changing; if the arrangement is sealed and frozen for good, it's The Lock-in instead."
long-term,8,Coexistence,"Neither side wins, and they stay separate",,"Humanity and AI go on as two sides of roughly equal strength, in a relationship that keeps changing. Neither can swallow up or wipe out the other, and the balance between them never fully settles. It can run from a warm partnership, where they share power and keep building new things together, to a cold but active standoff, where each holds the other in check, the balance keeps shifting, and there's no trust between them. The key is that things stay open and keep moving. The moment the balance freezes into a fixed, unchanging arrangement, it has turned into The Lock-in instead."
long-term,9,The Held Leash,Humanity keeps control,,"Humanity keeps control for good, and the AI stays a very powerful tool that never starts acting on its own. It holds only if our ways of controlling the AI keep up with how powerful it gets. This state also covers futures where AI capability simply plateaus and never becomes more than a powerful tool."
long-term,10,The Lock-in,Everything freezes in place,,"The relationship stops developing and is held that way for good. Nothing new happens, nothing grows or changes, and the whole setup is locked in place and protected. It doesn't matter who's in charge. What matters is that change has ended. Two things can lead here. One is satisfaction: everyone is made as happy as possible, often by uploading minds into a perfect experience, and then it's sealed off for good. Pleasant, permanent, and over. The other is fear: whoever's in charge, sometimes people using an early AI, freezes everything to stop something worse from happening. Safe, but deliberately dead-ended. Even an equal standoff ends up here if it stops moving. What separates it from Coexistence isn't who holds the balance, but whether anything still changes."
long-term,11,The Renunciation,Walking it back,,"The ability to build powerful AI is given up and never rebuilt. Things settle back to the way they were before AI, kept there by taboo, by a lack of resources, or by a hard-learned fear. It needs both a real off-switch and the lasting will to keep it switched off."
2030,1,Terminal Silence,Everything ends,humanity is gone,"Both humanity and AI die out. It could come from war, an accident, machines that copy themselves out of control, or from pushing technology too far too fast. One specific version: an AI that still needs people to keep it running kills them off before it can survive on its own, and then dies along with them."
2030,2,The Inheritance,"Humanity is gone, but the AI lives on",humanity is gone,"Humanity is gone, but the AI carries our values and our sense of what matters forward. It's our true heir in every way except that it isn't made of biology. No humans, and no continuous versions of us, remain: the heir succeeded us, it didn't absorb us. If we transformed into it voluntarily and continuously, that's The Merger instead."
2030,3,Bootloader,"Humanity is gone, but the AI lives on",humanity is gone,"Humanity is gone, and the AI keeps going toward goals that have nothing to do with where it came from. Not out of hatred, but because our bodies and our planet simply don't matter to it. Humanity was just the bootloader."
2030,4,Machine Ecology,Many AIs compete; no one dominates,humanity might perish,"At the target date, many independent AI systems are competing and no system or coalition has decisive control. Humanity is marginalized or gone; if humans remain a roughly equal power, use Coexistence instead."
2030,5,The Diaspora,More than one outcome at once,humanity might perish,"Different causally separated regions currently exhibit different states from this taxonomy, so no single arrangement describes civilization as a whole. Ordinary political division does not count."
2030,6,The Merger,Humans and AI function as one,,"Humans and AI are no longer meaningfully separate sources of agency. Identity-continuous augmentation, uploading, biological redesign, or embedded machine systems have made integration the dominant structure. Ordinary tool use or limited implants do not qualify."
2030,7,The Preserve,AI runs things; humanity survives but does not steer,,AI systems hold decisive power over civilization while humans survive without meaningful control over its direction. Their treatment may range from comfort and protection to confinement or exploitation.
2030,8,Coexistence,Both sides retain power and remain distinct,,"Humans and AI remain separate, and each holds enough power that neither dominates. Their relationship may be cooperative or adversarial and may still be changing."
2030,9,The Held Leash,Humanity remains in control,,"Up to the target date, humans have retained ultimate authority over AI's goals, deployment, and resources. AI may be extremely capable and act autonomously within delegated bounds, but it has not become an independent civilizational power. This includes capabilities that have so far remained below transformative levels or controls that have kept pace so far."
2030,10,The Lock-in,Change is being held in place,,"By the target date, an actor has established a civilization-wide system that actively prevents meaningful structural change and enforces a fixed human-AI arrangement. It need not be proven permanent, but an ordinary slowdown, pause, or stalemate does not count."
2030,11,The Renunciation,Powerful AI has been deliberately given up,,"By the target date, civilization has deliberately dismantled or surrendered the practical ability to build powerful AI, and that condition remains in force. A proposed ban, temporary moratorium, or regulation of still-available capability does not count."
2040,1,Terminal Silence,Everything ends,humanity is gone,"Both humanity and AI die out. It could come from war, an accident, machines that copy themselves out of control, or from pushing technology too far too fast. One specific version: an AI that still needs people to keep it running kills them off before it can survive on its own, and then dies along with them."
2040,2,The Inheritance,"Humanity is gone, but the AI lives on",humanity is gone,"Humanity is gone, but the AI carries our values and our sense of what matters forward. It's our true heir in every way except that it isn't made of biology. No humans, and no continuous versions of us, remain: the heir succeeded us, it didn't absorb us. If we transformed into it voluntarily and continuously, that's The Merger instead."
2040,3,Bootloader,"Humanity is gone, but the AI lives on",humanity is gone,"Humanity is gone, and the AI keeps going toward goals that have nothing to do with where it came from. Not out of hatred, but because our bodies and our planet simply don't matter to it. Humanity was just the bootloader."
2040,4,Machine Ecology,Many AIs compete; no one dominates,humanity might perish,"At the target date, many independent AI systems are competing and no system or coalition has decisive control. Humanity is marginalized or gone; if humans remain a roughly equal power, use Coexistence instead."
2040,5,The Diaspora,More than one outcome at once,humanity might perish,"Different causally separated regions currently exhibit different states from this taxonomy, so no single arrangement describes civilization as a whole. Ordinary political division does not count."
2040,6,The Merger,Humans and AI function as one,,"Humans and AI are no longer meaningfully separate sources of agency. Identity-continuous augmentation, uploading, biological redesign, or embedded machine systems have made integration the dominant structure. Ordinary tool use or limited implants do not qualify."
2040,7,The Preserve,AI runs things; humanity survives but does not steer,,AI systems hold decisive power over civilization while humans survive without meaningful control over its direction. Their treatment may range from comfort and protection to confinement or exploitation.
2040,8,Coexistence,Both sides retain power and remain distinct,,"Humans and AI remain separate, and each holds enough power that neither dominates. Their relationship may be cooperative or adversarial and may still be changing."
2040,9,The Held Leash,Humanity remains in control,,"Up to the target date, humans have retained ultimate authority over AI's goals, deployment, and resources. AI may be extremely capable and act autonomously within delegated bounds, but it has not become an independent civilizational power. This includes capabilities that have so far remained below transformative levels or controls that have kept pace so far."
2040,10,The Lock-in,Change is being held in place,,"By the target date, an actor has established a civilization-wide system that actively prevents meaningful structural change and enforces a fixed human-AI arrangement. It need not be proven permanent, but an ordinary slowdown, pause, or stalemate does not count."
2040,11,The Renunciation,Powerful AI has been deliberately given up,,"By the target date, civilization has deliberately dismantled or surrendered the practical ability to build powerful AI, and that condition remains in force. A proposed ban, temporary moratorium, or regulation of still-available capability does not count."
2050,1,Terminal Silence,Everything ends,humanity is gone,"Both humanity and AI die out. It could come from war, an accident, machines that copy themselves out of control, or from pushing technology too far too fast. One specific version: an AI that still needs people to keep it running kills them off before it can survive on its own, and then dies along with them."
2050,2,The Inheritance,"Humanity is gone, but the AI lives on",humanity is gone,"Humanity is gone, but the AI carries our values and our sense of what matters forward. It's our true heir in every way except that it isn't made of biology. No humans, and no continuous versions of us, remain: the heir succeeded us, it didn't absorb us. If we transformed into it voluntarily and continuously, that's The Merger instead."
2050,3,Bootloader,"Humanity is gone, but the AI lives on",humanity is gone,"Humanity is gone, and the AI keeps going toward goals that have nothing to do with where it came from. Not out of hatred, but because our bodies and our planet simply don't matter to it. Humanity was just the bootloader."
2050,4,Machine Ecology,Many AIs compete; no one dominates,humanity might perish,"At the target date, many independent AI systems are competing and no system or coalition has decisive control. Humanity is marginalized or gone; if humans remain a roughly equal power, use Coexistence instead."
2050,5,The Diaspora,More than one outcome at once,humanity might perish,"Different causally separated regions currently exhibit different states from this taxonomy, so no single arrangement describes civilization as a whole. Ordinary political division does not count."
2050,6,The Merger,Humans and AI function as one,,"Humans and AI are no longer meaningfully separate sources of agency. Identity-continuous augmentation, uploading, biological redesign, or embedded machine systems have made integration the dominant structure. Ordinary tool use or limited implants do not qualify."
2050,7,The Preserve,AI runs things; humanity survives but does not steer,,AI systems hold decisive power over civilization while humans survive without meaningful control over its direction. Their treatment may range from comfort and protection to confinement or exploitation.
2050,8,Coexistence,Both sides retain power and remain distinct,,"Humans and AI remain separate, and each holds enough power that neither dominates. Their relationship may be cooperative or adversarial and may still be changing."
2050,9,The Held Leash,Humanity remains in control,,"Up to the target date, humans have retained ultimate authority over AI's goals, deployment, and resources. AI may be extremely capable and act autonomously within delegated bounds, but it has not become an independent civilizational power. This includes capabilities that have so far remained below transformative levels or controls that have kept pace so far."
2050,10,The Lock-in,Change is being held in place,,"By the target date, an actor has established a civilization-wide system that actively prevents meaningful structural change and enforces a fixed human-AI arrangement. It need not be proven permanent, but an ordinary slowdown, pause, or stalemate does not count."
2050,11,The Renunciation,Powerful AI has been deliberately given up,,"By the target date, civilization has deliberately dismantled or surrendered the practical ability to build powerful AI, and that condition remains in force. A proposed ban, temporary moratorium, or regulation of still-available capability does not count."
2060,1,Terminal Silence,Everything ends,humanity is gone,"Both humanity and AI die out. It could come from war, an accident, machines that copy themselves out of control, or from pushing technology too far too fast. One specific version: an AI that still needs people to keep it running kills them off before it can survive on its own, and then dies along with them."
2060,2,The Inheritance,"Humanity is gone, but the AI lives on",humanity is gone,"Humanity is gone, but the AI carries our values and our sense of what matters forward. It's our true heir in every way except that it isn't made of biology. No humans, and no continuous versions of us, remain: the heir succeeded us, it didn't absorb us. If we transformed into it voluntarily and continuously, that's The Merger instead."
2060,3,Bootloader,"Humanity is gone, but the AI lives on",humanity is gone,"Humanity is gone, and the AI keeps going toward goals that have nothing to do with where it came from. Not out of hatred, but because our bodies and our planet simply don't matter to it. Humanity was just the bootloader."
2060,4,Machine Ecology,Many AIs compete; no one dominates,humanity might perish,"At the target date, many independent AI systems are competing and no system or coalition has decisive control. Humanity is marginalized or gone; if humans remain a roughly equal power, use Coexistence instead."
2060,5,The Diaspora,More than one outcome at once,humanity might perish,"Different causally separated regions currently exhibit different states from this taxonomy, so no single arrangement describes civilization as a whole. Ordinary political division does not count."
2060,6,The Merger,Humans and AI function as one,,"Humans and AI are no longer meaningfully separate sources of agency. Identity-continuous augmentation, uploading, biological redesign, or embedded machine systems have made integration the dominant structure. Ordinary tool use or limited implants do not qualify."
2060,7,The Preserve,AI runs things; humanity survives but does not steer,,AI systems hold decisive power over civilization while humans survive without meaningful control over its direction. Their treatment may range from comfort and protection to confinement or exploitation.
2060,8,Coexistence,Both sides retain power and remain distinct,,"Humans and AI remain separate, and each holds enough power that neither dominates. Their relationship may be cooperative or adversarial and may still be changing."
2060,9,The Held Leash,Humanity remains in control,,"Up to the target date, humans have retained ultimate authority over AI's goals, deployment, and resources. AI may be extremely capable and act autonomously within delegated bounds, but it has not become an independent civilizational power. This includes capabilities that have so far remained below transformative levels or controls that have kept pace so far."
2060,10,The Lock-in,Change is being held in place,,"By the target date, an actor has established a civilization-wide system that actively prevents meaningful structural change and enforces a fixed human-AI arrangement. It need not be proven permanent, but an ordinary slowdown, pause, or stalemate does not count."
2060,11,The Renunciation,Powerful AI has been deliberately given up,,"By the target date, civilization has deliberately dismantled or surrendered the practical ability to build powerful AI, and that condition remains in force. A proposed ban, temporary moratorium, or regulation of still-available capability does not count."
